gs_name,gene_symbol,gs_exact_source
KEGG_ALLOGRAFT_REJECTION,Cd28,hsa05330
KEGG_ALLOGRAFT_REJECTION,Cd40,hsa05330
KEGG_ALLOGRAFT_REJECTION,Cd40lg,hsa05330
KEGG_ALLOGRAFT_REJECTION,Cd80,hsa05330
KEGG_ALLOGRAFT_REJECTION,Cd86,hsa05330
KEGG_ALLOGRAFT_REJECTION,Fas,hsa05330
KEGG_ALLOGRAFT_REJECTION,Fasl,hsa05330
KEGG_ALLOGRAFT_REJECTION,Gzmb,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q10,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q7,hsa05330
KEGG_ALLOGRAFT_REJECTION,Gm8909,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-D1,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-M2,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q10,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q7,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q10,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q7,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-DMa,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-DMb1,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Oa,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Ob,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Aa,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Aa,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Ab1,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Ea,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Eb1,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Eb1,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-T23,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-M3,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q1,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q2,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-M3,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q10,hsa05330
KEGG_ALLOGRAFT_REJECTION,H2-Q7,hsa05330
KEGG_ALLOGRAFT_REJECTION,Ifng,hsa05330
KEGG_ALLOGRAFT_REJECTION,Il10,hsa05330
KEGG_ALLOGRAFT_REJECTION,Il12a,hsa05330
KEGG_ALLOGRAFT_REJECTION,Il12b,hsa05330
KEGG_ALLOGRAFT_REJECTION,Il2,hsa05330
KEGG_ALLOGRAFT_REJECTION,Il4,hsa05330
KEGG_ALLOGRAFT_REJECTION,Il5,hsa05330
KEGG_ALLOGRAFT_REJECTION,Prf1,hsa05330
KEGG_ALLOGRAFT_REJECTION,Tnf,hsa05330
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Acox1,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Acox3,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Fads2,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Pla2g4b,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Pla2g10,hsa00592
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,Pla2g12a,hsa00592
